Major,Subject
MAJ03519,41001
MAJ03519,31253
MAJ03519,41113
MAJ02092,31260
MAJ02092,31777
MAJ02092,31080
MAJ02092,41019
MAJ02092,41021
MAJ02092,41889
MAJ02092,31927
MAJ02092,31262
MAJ02092,41020
MAJ02092,31263
MAJ02092,31250
MAJ02092,31748
MAJ01156,37233
MAJ01156,37161
MAJ01156,37252
MAJ01156,37262
MAJ01156,37335
MAJ01156,37363
MAJ01156,37234
MAJ01156,35005
MAJ03445,31277
MAJ03445,31275
MAJ03445,41900
MAJ03445,48730
MAJ03445,31261
MAJ03445,31338
MAJ03445,48450
MAJ03445,32009
MAJ03445,41890
MAJ03445,41891
MAJ03445,42036
MAJ03445,48436
MAJ03445,41903
